0,1,2,3,4,5,6,7,8,9
0.0005499009,8.040439e-05,0.0047806604,0.0024735574,8.616151e-05,0.5397602,9.356043e-05,0.4515346,0.000628631,1.2353176e-05
2.9675027e-06,1.0405502e-05,3.540086e-05,0.99667066,2.2735628e-06,6.17389e-05,1.0834026e-06,0.003155768,1.8853432e-05,4.083429e-05
0.0020519353,0.35328743,0.035644867,0.00043513335,0.00017023808,0.00012988967,0.13480456,0.47304034,4.974682e-05,0.00038584517
3.6102915e-06,5.925529e-06,1.30977e-06,0.9991335,4.0000264e-06,1.7094364e-05,2.2557566e-05,0.0007756979,2.8253864e-05,8.011509e-06
1.292636e-05,0.00056567596,0.40407634,6.193166e-05,6.288736e-06,9.9762314e-05,0.0241296,0.5703096,0.00043642096,0.00030149365
0.00063122105,0.017533166,0.054457203,2.1894218e-06,0.00020222714,2.234367e-05,0.00033227121,0.92680156,9.228699e-06,8.602915e-06
2.1786506e-07,3.0658525e-06,1.8070918e-05,2.6510156e-06,0.9815554,3.222877e-06,5.904451e-07,0.017941872,3.4719794e-06,0.0004714913
1.41423325e-05,0.022280557,0.015525376,0.099549375,2.4781635e-05,0.013183922,3.8928633e-06,0.8484122,0.00081563264,0.00019012783
3.62908e-06,1.4360602e-05,1.2236822e-05,7.711648e-06,0.0009911004,2.2081784e-05,0.00036175494,0.9983742,6.094642e-06,0.00020672633
0.00011402158,0.026056219,0.05315907,0.001810282,0.00022794979,0.0024602888,0.0020443967,0.9120484,2.0483732e-05,0.0020589228
7.574626e-06,0.004832381,0.047764543,1.08961185e-05,1.6775828e-06,0.00081944326,3.1270065e-05,0.946531,6.277283e-07,6.4011283e-07
0.0011216251,2.4280578e-05,4.3264215e-05,2.5073468e-06,0.15470837,0.8401085,0.00050763396,0.0034346497,2.3788648e-06,4.6772722e-05
0.00068232114,0.18665208,0.00086019357,0.000103172824,0.00042127224,1.2185197e-05,0.0005612101,0.8105253,2.3364015e-05,0.00015889501
5.1807915e-06,0.0104557015,0.0006253079,7.203296e-07,0.00074599707,5.413826e-07,5.141575e-05,0.9881004,4.5812203e-06,1.0116071e-05
